policy_id,month,age,tenure_m,premium,coverage,premium_change_90d,region,has_agent,is_smoker,dependents,lapse_next_3m,post_event_call_count
27,2023-01,27,40,110.31309096650625,12588.041535192995,0.12333421804507967,N,1,0,1,0,0
28,2023-01,50,122,142.12850692902856,16269.689501512836,0.11783014449432111,E,0,0,2,0,0
29,2023-01,35,7,232.45889729142965,23671.64087751735,0.004337195668334984,C,0,1,2,0,2
30,2023-01,40,105,115.0688866914398,12505.166456186003,0.009251130898214225,E,0,0,0,0,1
31,2023-01,35,12,191.0559810944806,15059.368362755331,-0.06566145314461566,S,1,0,2,0,1
32,2023-01,72,8,185.75767535171667,20458.908472536226,0.021588595803559728,E,0,0,0,0,0
33,2023-01,44,37,310.65007948609673,36484.02121718543,0.01212606623491845,N,1,1,0,0,0
34,2023-01,29,20,171.17563981561742,17874.7895102949,0.02813741339352519,C,0,1,1,1,7
35,2023-01,57,120,266.2412672920891,30712.546946753395,0.04553919441025191,E,1,0,2,0,0
36,2023-01,26,73,119.67196778681706,8013.965934423915,0.007418561152216567,S,1,0,1,0,0
37,2023-01,48,26,103.53050586603614,5218.987817083774,0.07405475358236818,E,1,0,1,0,0
38,2023-01,18,16,66.16661557351651,5664.4556339787505,-0.04042232903751865,E,1,0,2,0,0
39,2023-01,25,7,112.77379758200212,10844.995779406185,-0.040623375836647616,N,0,0,0,0,1
40,2023-01,47,9,104.25913229697872,13285.330118502225,-0.06365572097261013,E,0,0,1,0,1
41,2023-01,56,49,98.55423197890217,13886.694779805388,0.15686658970781467,N,1,0,2,0,0
42,2023-01,47,139,124.76142214300901,12795.918564732243,-0.060101012063189185,W,1,0,3,0,1
43,2023-01,43,3,324.7490358990896,33191.74068447885,-0.15396594189528884,W,0,0,0,0,0
44,2023-01,40,16,178.9448519808223,12633.817990680467,0.005267220981521858,W,0,0,0,1,6
45,2023-01,22,42,79.14824563725597,4134.283191824067,0.012395793250589624,E,0,0,1,0,0
46,2023-01,34,7,404.557683280957,28419.310046356986,0.056068066009005095,E,0,1,1,0,1
47,2023-01,38,44,165.1784879511197,15063.61209975752,-0.11821492488017976,N,0,0,1,0,1
48,2023-01,60,42,125.43716916097583,7421.342162472391,-0.14730756430646139,W,0,0,0,0,1
49,2023-01,50,4,163.00029100114153,18105.232790663245,0.004379164786310843,S,1,0,1,0,0
50,2023-01,18,50,79.80753024327139,4351.343025919275,0.08733955364172834,E,0,0,1,0,1
51,2023-01,49,1,142.29677570810952,8001.599919801837,-0.07183530388306429,S,0,1,1,0,0
52,2023-01,39,7,147.84193700948376,16160.690176038423,-0.11318863785325983,N,0,0,0,0,1
53,2023-01,34,31,118.66360502681401,6541.5724994408065,-0.0651686918691203,E,0,0,0,1,4
54,2023-01,54,20,181.54529206187644,21654.87482351927,-0.13224044807028262,N,1,0,2,0,0
55,2023-01,60,30,77.44284769205781,10390.443124642403,-0.11686474299403114,W,1,0,0,0,0
56,2023-01,58,9,363.0246989862882,33369.23059476523,0.0809934492500836,S,0,1,1,0,0
57,2023-01,32,14,91.03521990073251,4969.88605343892,-0.0065198884349824335,N,1,0,2,0,1
58,2023-01,40,4,143.54578363167587,19366.287566395145,-0.13692271134705777,E,1,0,0,0,0
59,2023-01,49,10,121.33116081212059,12968.101742296738,-0.020023333539002666,N,1,0,2,0,0
60,2023-01,59,32,72.03262342007903,4940.729969172025,0.011389757199847944,S,0,0,1,1,4
61,2023-01,37,1,664.8303542693633,88085.9318922112,0.04788468678325761,W,1,1,0,0,2
62,2023-01,42,28,158.76310875466345,21279.594795651035,0.07091371455113367,N,0,0,1,0,0
63,2023-01,28,6,221.50011308566133,14845.669247883594,0.08655587656739855,W,0,1,2,0,0
64,2023-01,27,8,56.894085167036366,6628.601509746327,-0.0387151055849824,N,0,0,0,1,7
65,2023-01,57,73,112.76017502564862,16710.13087540009,-0.19038624751242006,N,0,0,1,0,0
66,2023-01,65,61,170.03232343940243,12481.668254499584,0.09237778526439772,W,0,0,1,0,0
67,2023-01,43,21,116.12064780050444,8946.73716544643,0.03261588639157633,S,0,0,1,0,2
68,2023-01,60,1,283.54537154384593,14876.596043402404,-0.02566950281243883,N,0,0,0,0,0
69,2023-01,50,44,240.17850633815794,28202.638345951516,0.09440421481490846,S,1,0,0,0,1
70,2023-01,35,16,151.91480727556498,14943.562533804816,-0.12066830537442191,S,1,0,0,0,0
71,2023-01,50,52,72.38855431637151,5743.876709603021,-0.07062663479041092,W,0,0,1,1,7
72,2023-01,68,9,154.40442532592505,13075.847010570584,-0.02573892662849306,S,1,0,0,0,0
73,2023-01,44,1,187.83094185419208,15504.861761455744,-0.07464363592272814,W,1,0,0,0,0
74,2023-01,68,44,235.96818952935482,34420.62651005521,0.16432713276859345,C,1,0,3,0,1
75,2023-01,18,1,102.00092988890337,8433.644008870455,0.01934653709882394,S,0,0,1,1,3
76,2023-01,57,7,314.5161399718758,25698.28880123398,0.0748482294383642,C,1,0,2,0,0
77,2023-01,46,31,170.6238750204851,23102.737664422813,0.17389918103268526,S,1,1,0,0,2
78,2023-01,40,59,152.5609306180731,11218.195036166671,-0.06129894889335459,C,1,0,0,0,0
79,2023-01,46,32,119.56603984864816,8780.9986500994,-0.07352747193775556,N,0,1,2,0,0
80,2023-01,18,30,115.20828062023628,5775.778662281954,-0.09945592463314715,E,0,0,0,0,3
81,2023-01,41,15,102.09289266719915,6052.526978744703,0.12995884776652064,E,0,0,2,1,7
82,2023-01,50,29,169.7214981311525,22663.96992991843,-0.14696183040062905,S,0,0,1,0,0
83,2023-01,67,38,238.4542926407723,34033.76168396071,0.21577143044379676,E,0,0,3,0,1
84,2023-01,37,107,63.55446537159458,6098.603913619724,0.012696908007978748,W,0,0,2,1,6
85,2023-01,32,8,130.58062004351717,7877.935046540827,0.22798454829745138,N,1,0,1,0,0
86,2023-01,37,8,206.29709279055447,21999.330544501976,-0.005282173952757766,N,1,0,2,0,0
87,2023-01,58,45,236.0996965307232,22367.60886241781,-0.18675639364387564,W,0,0,1,0,1
88,2023-01,49,43,155.39401757454166,12369.249198082716,-0.06527039051353473,E,1,0,1,0,0
89,2023-01,37,15,215.72737478951123,29404.222529167757,-0.19698967934405986,C,0,1,0,0,1
90,2023-01,52,21,206.65915411770393,16739.729491564838,0.04324353876560606,W,1,0,1,0,1
91,2023-01,46,19,229.82158087483808,12510.265635843387,-0.04489598159401738,C,1,0,1,0,0
92,2023-01,59,14,223.7704488427531,20951.389017584366,0.1843316046125959,W,1,0,2,0,0
93,2023-01,34,31,118.0001492534592,11820.110164044467,-0.13467435185185392,S,1,0,0,0,0
94,2023-01,40,92,181.5993248407223,20779.34658448006,-0.039412447055779204,N,0,0,2,0,0
95,2023-01,39,1,93.0383010860723,8200.7780786575,-0.08682807317999605,W,1,0,1,0,2
96,2023-01,23,17,97.3119522400172,10909.96805419126,-0.10357026778131113,E,0,1,1,0,0
97,2023-01,49,7,179.79200682238547,17556.38755686596,0.039300420685818564,N,1,0,0,0,0
98,2023-01,48,76,113.054302627029,12064.754356976946,0.22114035759302025,S,1,0,0,0,1
99,2023-01,45,91,232.5837054792985,29399.873301970045,0.028965352090030035,C,1,1,0,0,1
100,2023-01,41,3,263.757539966002,24565.46615862121,-0.07265362139655444,E,0,1,0,0,1
101,2023-01,23,23,166.8897579455781,11434.70285822811,-0.15829241627174528,S,1,0,1,0,0
102,2023-01,38,39,132.71863100867807,18434.5068751697,-0.07181987605057619,E,0,1,0,0,0
103,2023-01,39,2,152.38538674886752,14950.03033039173,-0.12885917083775927,N,0,0,0,0,0
104,2023-01,32,1,120.63067661012045,11706.389863989678,0.14282342144746915,S,1,1,2,0,0
105,2023-01,42,12,242.0616243092101,33472.56701477765,-0.13244665638906122,S,0,0,1,0,2
106,2023-01,51,8,115.14543959212152,16808.088845041377,-0.007748277433188611,N,1,0,1,0,1
107,2023-01,73,84,240.3444628881235,28600.779492937123,-0.04671406983178905,W,0,0,3,0,0
108,2023-01,47,81,121.18009663069357,15443.173786176554,0.11274543671225497,S,0,0,2,0,1
109,2023-01,48,12,115.69851706221054,16603.623633959563,-0.03160733588417362,W,1,0,1,0,0
110,2023-01,43,13,55.983293656568065,8173.158469210768,0.045801555148985595,C,0,0,0,0,0
111,2023-01,18,16,133.87678723481022,12525.599199876528,0.039380883799126416,N,0,0,0,0,0
112,2023-01,44,19,169.6455621400856,21289.359930447168,0.019969619662539802,E,1,0,1,0,2
113,2023-01,45,10,135.3772365655919,14569.69636771092,0.0885726353881855,E,0,0,1,0,1
114,2023-01,81,71,254.7648560455117,27926.375741215907,-0.060846008143226084,C,0,0,1,1,5
115,2023-01,42,89,129.320222199967,17236.35649272307,-0.1218818333217656,N,0,0,1,0,0
116,2023-01,49,1,128.46795035000625,16095.356959152463,-0.11094755448397436,E,1,0,0,0,0
117,2023-01,44,42,321.3586361098688,43172.61886709379,0.24860202462776726,E,1,1,1,0,0
118,2023-01,27,10,76.68011129050629,8403.692352852548,-0.01972506403523,S,1,0,2,0,0
119,2023-01,62,11,152.23758773860865,8019.42832590982,-0.20545820248619173,N,0,0,2,0,2
120,2023-01,56,3,126.5943566188926,17277.474007383236,0.17931143276074965,E,1,0,2,0,0
121,2023-01,56,47,175.0748192524571,26112.543893900885,-0.01815589215952325,W,1,0,0,0,2
122,2023-01,31,30,83.1920196968176,7800.064996605733,0.07630620157385543,S,1,0,2,0,1
123,2023-01,66,77,147.23640346360446,13920.225406249234,-0.07419089996448038,E,0,0,0,0,0
124,2023-01,23,49,227.91318037143057,13548.459714887633,-0.01895736954826558,S,1,1,1,0,1
125,2023-01,53,18,109.88963421371578,12707.781632043538,0.073992076024655,W,1,0,2,0,0
126,2023-01,77,7,205.30580515765226,26614.731319757047,0.07526385344792369,N,0,0,3,0,2
127,2023-01,30,16,120.49884065478933,17420.97479985973,0.25,C,0,0,2,0,0
128,2023-01,36,55,107.35264775840281,15328.264790153427,0.2428934738076904,S,1,1,0,0,0
129,2023-01,46,11,118.969820571643,8843.856142235023,-0.1568881293023388,S,0,0,0,0,0
130,2023-01,37,5,148.46873097555795,20211.979528091662,0.11211383450103514,N,1,0,2,0,2
131,2023-01,21,71,132.94633293222958,7753.665488045151,-0.17549301931162486,N,1,0,2,0,2
132,2023-01,46,98,77.91167584281891,6254.401621666792,-0.14969889888642993,E,0,0,1,1,6
133,2023-01,29,24,95.61855479703432,12429.905809835658,-0.13682492449810157,S,0,0,1,1,7
134,2023-01,52,71,142.31406300566942,19551.387419995404,-0.18999609181669427,W,0,0,1,0,0
135,2023-01,31,2,175.98872820463225,20740.96227285365,0.03286261153761027,N,1,1,0,1,1
136,2023-01,68,34,288.60204598196947,17361.495146160847,0.01647765290679296,S,0,0,1,0,1
137,2023-01,33,17,227.02648415046949,16265.155432087333,0.016659057969910716,S,1,0,1,0,0
138,2023-01,40,64,86.74548518578881,10921.13896185991,-0.04003377182727272,N,0,0,1,1,4
139,2023-01,57,3,125.0846144389167,10712.469721101588,0.002496986338196453,N,0,0,1,0,1
140,2023-01,26,36,52.099389247718335,4840.283306776514,0.12459138486184576,S,0,0,3,0,1
141,2023-01,48,10,197.07531569753786,26614.093510690163,-0.0059226168670773,E,0,0,1,1,7
142,2023-01,64,6,488.85906677808805,62609.06041869938,0.1780624955917215,S,1,0,1,0,0
143,2023-01,20,15,137.71086756776748,16141.761259588127,-0.0019514802751701655,E,0,0,2,0,0
144,2023-01,47,6,135.37107824921813,17147.612519720507,-0.03795600749291589,E,0,0,1,0,0
145,2023-01,48,14,113.64719726502862,10478.331262225609,-0.07616452389357636,N,0,0,3,0,1
146,2023-01,56,101,238.29109344410074,21705.933437862506,0.1032893484091672,E,0,1,0,0,0
147,2023-01,26,32,115.4000238639038,11443.220365833962,-0.14102645281739967,C,0,0,2,0,0
148,2023-01,25,1,104.12060737808618,12325.07587804005,-0.1025275430669701,E,1,0,2,0,0
149,2023-01,52,10,296.55060102646473,41178.79388613753,-0.20604769289335,E,0,0,0,0,0
150,2023-01,49,15,153.9787341724695,19196.86140927856,-0.11136866219055395,S,0,0,0,0,0
151,2023-01,48,4,204.95334352899795,10935.473824920007,-0.004797993391856003,W,0,1,2,0,0
152,2023-01,50,26,218.33990982603046,24064.427181402123,-0.047749159684110025,W,1,0,3,0,1
153,2023-01,34,24,129.40976489223542,6993.8062085865,-0.25,E,0,0,1,0,0
154,2023-01,48,89,255.21135149798255,34400.55471718592,0.1251528869213899,C,0,0,2,0,0
155,2023-01,49,55,370.09248442773463,43977.522586388775,-0.09628017639684976,N,1,0,1,0,2
156,2023-01,34,28,319.4910018597049,33785.36030933712,-0.03660923129077371,N,0,0,1,1,4
157,2023-01,72,41,346.4498218002984,39592.40719705832,0.07698209031577866,W,0,0,1,1,7
158,2023-01,52,29,194.86656942317757,14452.692744516307,0.19022831403539714,W,0,1,0,0,1
159,2023-01,27,1,420.7021230154346,61929.41246638157,0.13630483212767516,N,1,1,1,0,1
160,2023-01,54,17,98.1886613894655,5601.999872613474,-0.04525799699431902,S,0,0,0,1,5
161,2023-01,30,59,163.43266421436232,19412.09116811785,-0.14267123057666306,N,1,0,1,0,0
162,2023-01,56,25,234.79546851294944,18429.298788694527,0.10336283354875164,S,0,1,0,0,1
163,2023-01,62,90,164.94623616281962,8675.529034584295,0.016686524744165505,W,0,0,1,0,1
164,2023-01,32,3,57.45282816406643,7978.566715245954,0.09469748008755058,E,0,0,3,1,7
165,2023-01,59,24,199.72547565670604,26953.305778746046,-0.01625596174750698,S,0,0,0,0,2
166,2023-01,51,74,430.4561025829928,29243.179930568273,0.006265449277865744,S,1,1,0,0,0
167,2023-01,57,34,247.30235768650923,13349.521815339913,0.14543101017964907,N,0,1,3,0,0
168,2023-01,73,57,227.92662897706066,13348.846546169363,-0.10810120697625603,S,0,0,0,0,0
169,2023-01,41,117,97.54189375073487,6136.715628015779,-0.07414954274106673,E,0,0,1,0,1
170,2023-01,33,116,196.89180014790801,19677.456316618678,0.0876540512292303,C,1,0,0,0,1
171,2023-01,31,25,136.84756532737907,10221.370385849721,-0.09621435288593144,W,0,0,3,0,0
172,2023-01,32,151,111.62926290491657,7270.874460729642,0.13309985491296977,N,1,0,2,1,1
173,2023-01,43,61,136.3887470176583,9704.339189249069,-0.02278731289955631,C,0,0,2,0,0
174,2023-01,50,32,120.48476800578277,7044.380693294234,0.10353964498047433,W,0,0,4,0,0
175,2023-01,49,24,169.33129114911318,12190.575324944899,0.07208436021306856,W,0,1,0,0,1
176,2023-01,57,117,136.57062406908656,9723.576062121245,0.05109033790865827,E,0,0,1,0,0
177,2023-01,45,16,165.40788892552314,21322.300617727687,-0.00973810059134676,S,0,0,2,1,7
178,2023-01,66,51,157.2864866448011,21566.6564105727,0.0348933827351114,S,0,0,1,0,1
179,2023-01,41,12,158.09237024704115,18240.771340414878,-0.06238365173627744,N,1,0,2,0,0
180,2023-01,85,3,334.28166693993586,23831.517862210167,0.09012962112060259,N,1,0,2,0,0
181,2023-01,54,3,168.18664365305165,12354.050691996408,-0.08378432960225562,N,1,1,0,0,0
182,2023-01,32,8,94.64890356257203,12496.920799855643,0.07900432041297202,E,0,1,2,1,8
183,2023-01,28,8,109.72777355866542,10771.781558490808,-0.002296590031445052,W,0,0,0,0,0
184,2023-01,52,2,113.27240912352555,12374.392691434201,-0.0020839552771237625,E,0,0,2,0,0
185,2023-01,41,56,242.66919249186012,31891.84974745726,-0.13197408180339942,N,1,1,0,0,1
186,2023-01,55,58,183.6904047715537,26408.84072784913,0.021428249173813113,C,1,0,2,0,0
187,2023-01,52,20,280.64714388900967,33597.38696197045,0.03305281729054157,C,0,0,1,0,0
188,2023-01,43,216,99.65813858930122,7200.597319917161,-0.08952171441525554,W,0,0,2,0,0
189,2023-01,32,49,212.1429478580587,25317.68761753181,-0.03455427414174907,C,0,1,3,0,2
190,2023-01,22,11,153.23591849993082,19340.994865286444,-0.13556493032680186,E,0,0,1,0,0
191,2023-01,38,83,195.0093453339396,25517.231677928314,0.01667819386556424,C,0,0,1,0,0
192,2023-01,57,90,445.9306935038792,27968.95679047864,-0.012666088153077432,N,0,1,1,0,0
193,2023-01,48,20,106.33742929288005,6627.5400417917,-0.10244849990154387,S,1,0,1,0,0
194,2023-01,26,65,138.68311099153985,10460.206966742837,-0.12092487544616037,N,0,0,3,0,1
195,2023-01,47,11,364.3613938859302,22637.94481832491,-0.01656813289113687,N,0,0,1,0,0
196,2023-01,50,7,439.66905424085564,32603.342714593797,-0.16133394017494637,N,1,1,0,0,0
197,2023-01,31,26,49.793611436285836,3171.257117015237,-0.07342399476916422,E,0,0,2,0,1
198,2023-01,47,46,268.8649180548306,35800.30412540702,0.010647630450482726,W,0,1,2,0,0
199,2023-01,45,24,118.18139314238077,11961.184364348659,0.038065542136027745,E,0,0,0,0,2
200,2023-01,27,13,110.9742220584817,7002.634928584982,-0.11822464019884,N,0,0,1,1,5
201,2023-01,50,48,472.37085992298944,30532.91579822068,-0.24338165053449268,W,0,1,0,0,1
202,2023-01,53,6,178.91301749204433,10667.699102845285,0.004269727445844389,E,1,0,1,0,1
203,2023-01,61,13,178.84268759585422,16243.687090301812,0.10621913076271912,S,0,0,1,0,0
204,2023-01,60,14,113.32619965524017,15693.447043608689,-0.10972922697226935,E,0,0,1,1,3
205,2023-01,24,51,181.44527771794915,13737.488029311857,0.060509783262958444,S,1,0,3,0,1
206,2023-01,30,38,230.79772123397296,18677.446619190257,-0.02097575307545102,S,0,0,0,0,2
207,2023-01,52,41,145.72568846935818,8257.139378356813,0.09430159085677375,C,1,0,1,1,8
208,2023-01,52,29,271.0272248803417,39326.94268046204,-0.1171414392093989,S,1,0,3,0,0
209,2023-01,52,26,556.704836337182,33596.997896795496,-0.04583555927457061,E,0,1,0,0,0
210,2023-01,85,11,231.01799184953245,11861.481196815183,0.05879282679978648,C,1,0,1,0,0
211,2023-01,53,9,376.30003657955444,50418.92062087081,0.07560477759808099,W,0,1,0,0,1
212,2023-01,62,13,182.0456173632805,21782.46850298601,0.07452522288182044,N,1,0,1,0,0
213,2023-01,59,36,148.38753088267893,19492.599764493552,-0.05455526027368869,N,0,0,1,0,1
214,2023-01,54,38,167.34181589645374,14675.764053515873,0.12477122918598192,N,1,0,4,0,0
215,2023-01,40,101,178.51563723359297,11410.659076166992,-0.04348267912677366,E,1,0,1,0,0
216,2023-01,56,34,162.0220856716704,20197.133241842253,0.09996891539453562,S,0,0,0,0,0
217,2023-01,33,65,148.08608981556952,14021.29789012298,0.01598460497127946,N,0,0,1,0,1
218,2023-01,41,7,232.3685575176967,15915.97599863625,-0.11244034957402725,C,1,1,1,0,0
219,2023-01,37,1,102.72098474106973,14321.64775038924,0.1128832746943447,E,1,1,1,0,0
220,2023-01,46,2,154.61235294692008,10567.201646123503,0.020997928075778282,N,0,0,0,1,3
221,2023-01,79,45,256.56234577915814,34934.36555477464,0.15040676045201984,E,1,1,0,1,4
222,2023-01,18,6,90.05876400148522,6402.077968114295,-0.02658552954468585,E,0,0,0,0,0
223,2023-01,55,10,256.7590290366405,35912.70704145364,-0.24766815560300223,N,0,0,0,0,1
224,2023-01,20,240,140.5569580239685,12677.115786409944,0.022541014262999242,S,0,1,1,1,6
225,2023-01,37,41,81.85792694454389,8819.36704990857,-0.0860100321328065,W,0,0,1,0,1
226,2023-01,61,108,97.70971887437148,10212.96881950436,0.009955759759996682,E,1,0,2,0,0
227,2023-01,45,57,160.205673697764,11138.570775206243,0.02247421195821744,E,0,0,1,0,0
228,2023-01,28,36,113.46973110551394,15235.797789825485,-0.017975613307640744,S,1,0,1,0,0
229,2023-01,34,11,103.5965566742196,6244.88913295732,-0.03599684214241245,N,0,0,2,0,0
230,2023-01,55,3,99.6711634207663,8584.107126981893,0.03783105596408589,N,0,0,1,0,1
231,2023-01,34,79,276.58626189007634,27601.59557865502,-0.014695677543719574,S,0,1,2,1,2
232,2023-01,48,20,144.021934755131,8489.781721345385,0.010299559976168063,N,0,0,0,0,1
233,2023-01,45,42,270.199691884127,38267.594387469675,-0.006616155380558271,N,0,0,2,0,0
234,2023-01,35,19,136.00487851874442,20150.62772327264,0.25,W,0,0,0,0,1
235,2023-01,77,71,182.05410338586898,23166.865700369304,0.035181545091389634,C,0,0,2,0,2
236,2023-01,54,12,184.9897370279385,14353.770904611503,-0.03389680508233362,W,0,0,1,0,2
237,2023-01,18,17,129.46497390855123,10979.866793006539,-0.1386879470527027,C,0,0,1,0,0
238,2023-01,47,42,213.69570453045975,28096.62944305256,-0.0881541272073833,N,0,1,3,1,4
239,2023-01,35,87,241.933062281918,30685.94267733034,-0.15262789938349905,C,1,1,0,0,0
240,2023-01,57,13,327.9462517409286,20820.482620411694,-0.24994825282763522,N,1,1,1,0,1
241,2023-01,33,1,230.24843204821107,13207.470531235087,-0.10324649759681026,C,0,1,2,0,2
242,2023-01,43,8,116.01313716271471,8024.62024206245,-0.02273275873143359,C,0,0,0,0,0
243,2023-01,52,96,448.86183073568,48867.21587090947,-0.10426974091832862,W,0,1,0,0,0
244,2023-01,57,10,166.12772670447416,21970.990230688047,0.12070032387525483,C,1,0,3,0,0
245,2023-01,26,20,122.29323200435151,11907.583554180635,0.05291151085637205,E,0,0,1,1,4
246,2023-01,39,56,214.13922436880947,15217.70970787829,-0.061359857173800804,S,0,0,0,0,1
247,2023-01,37,31,112.78977610233699,16144.258975942319,-0.10580352588581446,S,0,0,1,0,0
248,2023-01,35,6,219.98862043966741,13655.537386644162,0.1738798360950869,E,0,0,0,0,0
249,2023-01,71,15,167.6090735122476,21799.632603946382,0.026454137610206697,N,0,1,2,0,1
250,2023-01,51,143,124.95949694472851,11932.820618668688,-0.05487163413482678,E,1,0,1,0,0
251,2023-01,26,55,153.6341444976154,13693.055719097096,0.00529610899146122,C,0,0,4,0,1
252,2023-01,58,21,205.99702981230692,30376.511757169756,0.1704110520866804,N,0,0,1,0,0
253,2023-01,76,46,222.8853347960542,27528.920413145628,0.06240901831841357,W,0,0,1,0,0
254,2023-01,60,13,257.5976878427591,20522.969797995076,-0.06961984723041789,C,0,0,1,0,1
255,2023-01,22,33,154.29021110134377,9419.438235857591,-0.05724175857800458,C,1,0,2,0,0
256,2023-01,37,70,84.47047207490483,8802.122093245725,0.04026399569920037,C,0,0,1,0,4
257,2023-01,64,13,113.48571266582896,6392.868620103195,-0.13462761232318596,E,1,0,0,1,5
258,2023-01,34,170,136.73471508835075,11912.706419320628,-0.017255125751486772,C,0,0,2,0,0
259,2023-01,51,41,275.59323673403327,33876.89927627939,-0.11376446042692773,W,0,0,1,0,0
260,2023-01,56,46,189.3465291382049,14768.793526014726,-0.07909538805384142,N,1,0,0,0,0
261,2023-01,31,1,70.14963585444332,6784.6913262510925,-0.19517764835951804,E,0,0,2,1,7
262,2023-01,44,48,95.46101451360467,5351.088706868082,-0.11431606060400804,W,1,0,1,0,1
263,2023-01,18,46,50.81580954651648,6124.265362022496,0.08645406694634494,N,0,0,1,0,1
264,2023-01,29,30,198.85948821881135,22597.360662901257,-0.25,E,1,0,0,0,1
265,2023-01,41,43,107.26090153254306,7043.117425157826,-0.043257575712307934,E,0,0,0,0,0
266,2023-01,26,40,110.25796046620282,7381.992736893163,0.10000374458259134,N,0,0,1,1,7
267,2023-01,69,56,280.0171626220942,14432.50342377077,0.03028952625429311,E,1,0,3,0,0
268,2023-01,23,4,130.27610931995736,7420.289869957959,-0.05149323629812041,W,1,0,1,0,0
269,2023-01,38,27,64.18977739307819,8796.600279690687,-0.027979216569898414,E,1,0,1,0,1
270,2023-01,46,7,369.04278004614787,19574.85255022095,-0.065228484472671,N,1,1,4,0,0
271,2023-01,66,44,235.0080950112311,25530.436734081894,0.07661775976212186,N,1,1,3,0,0
272,2023-01,23,3,99.37108036930599,8100.604172592631,-0.02436243827114264,S,0,0,3,0,0
273,2023-01,62,83,240.79275982286688,22475.135038340475,-0.19524331082051583,C,0,0,2,0,0
274,2023-01,45,24,94.09708300526125,5280.221877612949,0.18568436628491725,N,0,0,2,0,2
275,2023-01,30,26,261.5705933972715,27857.732979140954,0.09240110572571725,E,0,1,1,0,0
276,2023-01,51,25,266.3740829017648,34946.741401059495,0.040235198845434125,N,0,1,1,0,1
277,2023-01,47,67,119.32472514886365,16283.979774405168,0.2112519290962802,S,0,0,0,0,1
278,2023-01,35,104,180.66861698787872,11185.195118539832,0.09575177776433261,W,0,1,3,0,0
279,2023-01,46,3,125.28758515918803,12384.907744952876,-0.06522665031033145,W,1,0,1,0,1
280,2023-01,39,48,139.08941643011724,14161.87494484357,0.028361720550501002,N,0,0,1,0,0
281,2023-01,46,29,253.17948606311035,12881.133100846122,0.25,S,0,0,1,0,0
282,2023-01,54,1,112.05415736989418,15628.351378029654,0.06558839906913896,N,0,0,0,0,1
283,2023-01,68,105,285.2721805441651,19268.85122074754,-0.17690877320358567,E,1,1,1,0,1
284,2023-01,26,65,224.37406658627637,13408.126838507762,-0.03950218644383686,E,1,0,0,0,2
285,2023-01,76,1,164.00643151664852,24527.969806728423,0.15330688258513048,N,0,0,3,0,1
286,2023-01,18,4,160.00548021577407,21235.130435005627,0.11628776937471558,S,0,1,3,0,0
